MOVIE NAME,DIRECTORS LIST,PRINCIPLE CAST LIST,CAST LIST
rashomon,akira kurosawa,"daisuke katô,kichijir,leslie daniels,machiko kyô,masayuki mori,minoru chiaki,noriko honma,takashi shimura,toshirô mifune",
all about eve,joseph l. mankiewicz,"anne baxter,barbara bates,bette davis,celeste holm,gary merrill,george sanders,gregory ratoff,hugh marlowe,marilyn monroe,thelma ritter","barbara white,craig hill,leland harris,randy stuart,walter hampden"
jules and jim,françois truffaut,"jeanne moreau,oskar werner","anny nelsen,bernard largemain,danielle bassiak,dominique lacarrière,elen bober,henri serre,kate noelle,marie dubois,michel subor,pierre fabre,sabine haudepin,serge rezvani,vanna urbino"
the wild bunch,sam peckinpah,"ben johnson,edmond o'brien,emilio fernández,ernest borgnine,jaime sánchez,l.q. jones,robert ryan,strother martin,warren oates,william holden","albert dekker,bo hopkins,dub taylor,jorge russek,paul harper"
my left foot,jim sheridan,"brenda fricker,daniel day-lewis","alison whelan,cyril cusack,declan croghan,derry power,eanna macliam,fiona shaw,hugh o'conor,kirsten sheridan,marie conmee,pat laffan,phelim drew,ray mcanally,ruth mccabe"
the third man,carol reed,"alida valli,bernard lee,erich ponto,ernst deutsch,joseph cotten,orson welles,paul hörbiger,siegfried breuer,trevor howard,wilfrid hyde-white","harold ayer,harry belcher,hedwig bleibtreu,jack arrow,nelly arno"
dr. strangelove or: how i learned to stop worrying and love the bomb,stanley kubrick,"george c. scott,peter sellers","frank berry,glenn beck,hal galili,jack creley,james earl jones,keenan wynn,peter bull,robert o'neil,roy stephens,shane rimmer,slim pickens,sterling hayden,tracy reed"
"quo vadis, aida?",jasmila zbanic,"boris isakovic,boris ler,dino bajrovic,emir hadzihafizbegovic,izudin bajrovic,jasna djuricic,johan heldenbergh,raymond thiry,reinout bussemaker,teun luijkx","alban ukaj,edita malovcic,ermin bravo,jelena kordic,juda goslinga"
gone with the wind,"george cukor,sam wood,victor fleming",vivien leigh,"alicia rhett,ann rutherford,barbara o'neil,butterfly mcqueen,evelyn keyes,everett brown,fred crane,george reeves,hattie mcdaniel,howard c. hickman,leslie howard,oscar polk,thomas mitchell,victor jory"
"4 months, 3 weeks and 2 days",cristian mungiu,"anamaria marinca,vlad ivanov","adi carauleanu,alexandru potocean,cerasela iosifescu,constantin bojog,costica babu,cristina burbuz,doru ana,eugenia bosânceanu,ion sapdaru,laura vasiliu,liliana mocanu,luminita gheorghiu,marioara sterian,mihaela alexandru,monica alexandrescu,tania popa,teodor corban"
psycho,alfred hitchcock,"anthony perkins,janet leigh","fletcher allen,frank albertson,john anderson,john gavin,john mcintire,lurene tuttle,martin balsam,mort mills,patricia hitchcock,simon oakland,vaughn taylor,vera miles,walter bacon"
battleship potemkin,sergei m. eisenstein,"a. glauberman,aleksandr antonov,aleksandr levshin,grigoriy aleksandrov,ivan bobrov,konstantin feldman,mikhail gomorov,n. poltavtseva,prokhorenko,vladimir barskiy","beatrice vitoldi,daniil antonovich,iona biy-brodskiy,julia eisenstein,sergei m. eisenstein"
a streetcar named desire,elia kazan,"ann dere,karl malden,kim hunter,marlon brando,nick dennis,peg hillias,richard garrick,rudy bond,vivien leigh,wright king","dahn ben amotz,edna thomas,marietta canty,mel archer,mickey kuhn"
american graffiti,george lucas,"bo hopkins,candy clark,charles martin smith,cindy williams,mackenzie phillips,manuel padilla jr.,paul le mat,richard dreyfuss,ron howard,wolfman jack","beau gentry,deby celiz,harrison ford,jana bellan,jim bohan"
dumbo,"ben sharpsteen,bill roberts,jack kinney,john elliotte,norman ferguson,samuel armstrong,wilfred jackson","billy bletcher,cliff edwards,eddie holden,edward brophy,herman bing,james baskett,jim carmichael,noreen gammill,sterling holloway,verna felton","hall johnson,harold manley,james macdonald,john mcleish,malcolm hutton"
roma,alfonso cuarón,"andy cortés,carlos peralta,daniela demesa,diego cortina autrey,fernando grediaga,marco graf,marina de tavira,nancy garcía garcía,verónica garcía,yalitza aparicio","jorge antonio guerrero,josé luis lópez gómez,josé manuel guerrero mendoza,latin lover,zarela lizbeth chinolla arellano"
ran,akira kurosawa,"akira terao,daisuke ryû,jinpachi nezu,tatsuya nakadai","hisashi igawa,kazuo katô,kenji kodama,mansai nomura,masayuki yui,mieko harada,norio matsui,peter,takashi watanabe,toshiya ito,yoshiko miyazaki"
the shop around the corner,ernst lubitsch,"edwin maxwell,felix bressart,frank morgan,inez courtney,james stewart,joseph schildkraut,margaret sullavan,sara haden,sarah edwards,william tracy","charles arnt,charles halton,charles smith,joan blair,mary carr"
12 angry men,sidney lumet,"henry fonda,lee j. cobb","e.g. marshall,ed begley,edward binns,george voskovec,jack klugman,jack warden,james kelly,john fiedler,joseph sweeney,martin balsam,robert webber,rudy bond,tom gorman"
manchester by the sea,kenneth lonergan,"casey affleck,kyle chandler,lucas hedges,michelle williams","amanda blattner,anna baryshnikov,anthony estrella,ben hanson,ben o'brien,brian chamberlain,c.j. wilson,casey affleck,chaunty spillane,danae nason,erica mcdermott,gretchen mol,heather burns,jeffrey corazzini,josh hamilton,kara hayward,kyle chandler,lewis d. wheeler,liam mcneill,lucas hedges,mark burzenski,mary mallen,matthew broderick,michelle williams,missy yager,oscar wahlberg,quincy tyler bernstine,richard donelly,robert sella,ruibo qian,stephanie ann saunders,stephen henderson,susan pourfar,tate donovan,tom kemp,virginia loring cooke"
rosemary's baby,roman polanski,"john cassavetes,mia farrow","charles grodin,d'urville martin,elisha cook jr.,emmaline henry,hanna hertelendy,hope summers,maurice evans,patsy kelly,phil leeds,ralph bellamy,ruth gordon,sidney blackmer,victoria vetri"
the maltese falcon,john huston,"barton maclane,elisha cook jr.,gladys george,humphrey bogart,jerome cowan,lee patrick,mary astor,peter lorre,sydney greenstreet,ward bond","charles drake,chester gan,james burke,john hamilton,murray alper"
12 years a slave,steve mcqueen,"alfre woodard,benedict cumberbatch,brad pitt,chiwetel ejiofor,garret dillahunt,michael fassbender,michael k. williams,paul dano,paul giamatti,sarah paulson","adepero oduye,alfre woodard,ashley dyke,benedict cumberbatch,bill camp,brad pitt,bryan batt,cameron zeigler,chiwetel ejiofor,chris chalk,christopher berry,craig tate,dickie gravois,dwight henry,garret dillahunt,kelsey scott,lupita nyong'o,marcus lyle brown,michael fassbender,michael k. williams,mister mackey jr.,paul dano,paul giamatti,quvenzhané wallis,ruth negga,sarah paulson,scoot mcnairy,taran killam,tom proctor,tony bentley"
killer of sheep,charles burnett,"angela burnett,charles bracy,delores farley,dorothy stengel,eugene cherry,henry g. sanders,jack drummond,kaycee moore,slim,tobar mayo","angela burnett,charles bracy,chris terrill,eugene cherry,henry g. sanders,homer jai,jack drummond,johnny smoke,kaycee moore,lawrence pierott,russell miles"
nashville,robert altman,"barbara baxley,david arkin,geraldine chaplin,karen black,keith carradine,ned beatty,robert doqui,ronee blakley,shelley duvall,timothy brown","allen garfield,barbara harris,henry gibson,jeff goldblum,scott glenn"
ratatouille,brad bird,"brad garrett,lou romano,patton oswalt","brian dennehy,ian holm,jake steinfeld,james remar,janeane garofalo,john ratzenberger,julius callahan,peter o'toole,peter sohn,teddy newton,tony fucile,will arnett"
parasite,joon-ho bong,"andreas fronk,hyae jin chang,hye-jin jang,hyun seung-min,jaewook park,jeong esuz,jeong-eun lee,ji-rye lee,jung hyeon-jun,jung ik-han,kang echae,kang-ho song,lee joo-hyung,myeong-hoon park,pak hyo-shin,seo joon park,seon-gyun lee,so-dam park,woo-sik choi,yeo-jeong cho,yeo-jeong jo","hye-jin jang,hyun seung-min,jaewook park,jeong esuz,jeong-eun lee,ji-hye lee,ji-rye lee,jung hyeon-jun,jung ik-han,jung ziso,kang echae,keun-rok park,lee joo-hyung,myeong-hoon park,pak hyo-shin,seo joon park,seong-bong ahn"
rocks,sarah gavron,"afi okaidja,anastasia dymitrow,bukky bakray,d'angelou osei kissiedu,kosar ali,layo-christina akinlude,ruby stokes,sarah niles,shaneigha-monik greyson,tawheda begum","brie-morgan appleton,islah abdur-rahman,mohammad amiri,sharon d clarke,shola adewusi"
don't look now,nicolas roeg,"ann rye,clelia matania,david tree,donald sutherland,giorgio trestini,hilary mason,julie christie,leopoldo trieste,massimo serato,renato scarpa","adelina poerio,bruno cattaneo,nicholas salter,sharon williams"
the grapes of wrath,john ford,"charley grapewin,dorris bowdon,eddie quillan,henry fonda,jane darwell,john carradine,john qualen,o.z. whitehead,russell simpson,zeffie tilbury","darryl hickman,frank darien,frank sully,roger imhof,shirley mills"
children of paradise (1945),marcel carné,"arletty,jean-louis barrault","etienne decroux,fabien loris,gaston modot,habib benglia,jane marken,louis florencie,marcel pérès,marcelle monthil,maría casares,palau,pierre brasseur,pierre renoir,rognoni"
mean streets,martin scorsese,"amy robinson,cesare danova,david proval,george memmoli,harvey keitel,jeannie bell,lenny scaletta,richard romanus,robert de niro,victor argo","david carradine,harry northup,lois walden,murray moston,robert carradine"
the lady eve,preston sturges,"barbara stanwyck,charles coburn,eric blore,eugene pallette,henry fonda,janet beecher,martha o'driscoll,melville cooper,robert greig,william demarest","abdullah abbas,dora clement,luis alberni,mary akin,norman ainsley"
gravity,alfonso cuarón,"george clooney,sandra bullock","amy warren,basher savage,ed harris,eric michels,george clooney,janis ahern,orto ignatiussen,paul sharma,sandra bullock"
fantasia,"ben sharpsteen,bill roberts,david hand,ford beebe jr.,hamilton luske,james algar,jim handley,norman ferguson,paul satterfield,samuel armstrong,t. hee,wilfred jackson","corey burton,deems taylor,hugh douglas,james macdonald,julietta novis,leopold stokowski,paul j. smith,tim matheson,walt disney",
spirited away,hayao miyazaki,miyu irino,"bunta sugawara,koba hayashi,mari natsuki,noriko kitou,rumi hîragi,ryûnosuke kamiki,shigeru wakita,shiro saito,takashi naitô,takehiko ono,tatsuya gashûin,tsunehiko kamijô,yasuko sawaguchi,yô ôizumi,yumi tamai"
beauty and the beast,"gary trousdale,kirk wise","paige o'hara,robby benson","alec murphy,alvin epstein,angela lansbury,bradley pierce,brian cummings,david ogden stiers,jerry orbach,jesse corti,jo anne worley,mary kay bergman,rex everhart,richard white,tony jay"
small axe: lovers rock,steve mcqueen,"amarah-jae st. aubyn,daniel francis-swaby,ellis george,francis lovehall,joshua viner,kadeem ramsay,kedar williams-stirling,marcus fraser,micheal ward,shaniqua okwok","alexander james-blake,frankie fox,jermaine freeman,romario simpson,saffron coomber"
toy story,john lasseter,"tim allen,tom hanks","annie potts,don rickles,erik von detten,jack angel,jim varney,john morris,john morris,john ratzenberger,laurie metcalf,penn jillette,r. lee ermey,sarah freeman,spencer aste,wallace shawn"
the bride of frankenstein,james whale,"boris karloff,colin clive,douglas walton,e.e. clive,elsa lanchester,ernest thesiger,gavin gordon,lucien prival,una o'connor,valerie hobson","anne darling,dwight frye,mary gordon,o.p. heggie,reginald barlow"
the social network,david fincher,"andrew garfield,jesse eisenberg,justin timberlake","adina porter,alecia svensen,armie hammer,brenda song,bryan barter,caleb landry jones,calvin dean,cherilyn wilson,dakota johnson,denise grayson,dustin fitzsimons,james dastoli,jami owen,jayk gallagher,joseph mazzello,malese jow,marcella lentz-pope,max minghella,patrick mapel,rashida jones,robert dastoli,rooney mara,scotty crowe,shelby young,toby meuli,trevor wright"
my fair lady,george cukor,"audrey hepburn,gladys cooper,isobel elsom,jeremy brett,john holland,mona washbourne,rex harrison,stanley holloway,theodore bikel,wilfrid hyde-white","elizabeth aimers,helen albrecht,john alderson,lawana backer,mary alexander"
portrait of a lady on fire,céline sciamma,"adele haenel,armande boulanger,cécile morel,christel baras,clément bouyssou,guy delamarche,luàna bajrami,michèle clément,noémie merlant,valeria golino",
i am not your negro,raoul peck,,"dick cavett,james baldwin,samuel l. jackson,shumerria harris"
woodstock,michael wadleigh,"arlo guthrie,country joe and the fish,crosby stills & nash,joan baez,joe cocker,richie havens,sha-na-na,ten years after,the who","bob davis,canned heat,jimi hendrix,john sebastian,santana,sly and the family stone"
double indemnity,billy wilder,"barbara stanwyck,byron barr,edward g. robinson,fortunio bonanova,fred macmurray,jean heather,john philliber,porter hall,richard gaines,tom powers","edmund cobb,james adamson,john berry,kernan cripps,raymond chandler"
snow white and the seven dwarfs,"ben sharpsteen,david hand,larry morey,perce pearce,wilfred jackson,william cottrell","adriana caselotti,billy gilbert,eddie collins,harry stockwell,lucille la verne,marion darlington,otis harlan,pinto colvig,roy atwell,stuart buchanan","james macdonald,moroni olsen,purv pullen,scotty mattraw"
the hurt locker,kathryn bigelow,"anthony mackie,brian geraghty,jeremy renner","barrie rice,christian camargo,christopher sayegh,david morse,evangeline lilly,feisal sadoun,guy pearce,nabil koni,ralph fiennes,sam redford,sam spruell,suhail aldabbach"
anatomy of a murder,otto preminger,"arthur o'connell,ben gazzara,eve arden,george c. scott,james stewart,kathryn grant,lee remick,murray hamilton,orson bean,russ brown","alexander campbell,brooks west,howard mcnear,john qualen,ken lynch"
zero dark thirty,kathryn bigelow,"chris pratt,édgar ramírez,jason clarke,jennifer ehle,jessica chastain,joel edgerton,mark strong","alexander karim,ali marhyar,aymen hamdouchi,callan mulvey,fares fares,frank grillo,harold perrineau,j.j. kandel,james gandolfini,jason clarke,jennifer ehle,jeremy strong,jessica collins,kyle chandler,lee asquith-coe,mark duplass,mark valley,mike colter,nabil elouahabi,nina arianda,parker sawyers,reda kateb,scott adkins,senem temiz,simon abkarian,stephen dillane,taylor kinney,wahab sheikh"
collective,alexander nanau,"catalin tolontan,mirela neag,razvan lutac,tedy ursuleanu,vlad voiculescu",
a separation,asghar farhadi,"leila hatami,peyman moaadi,sareh bayat","ali-asghar shahbazi,babak karimi,hamid dadju,kimia hosseini,leila hatami,marila zare'i,mohammad ebrahimian,mohammadhasan asghari,peyman moaadi,sahabanu zolghadr,sareh bayat,sarina farhadi,shahab hosseini,shirin azimiyannezhad,shirin yazdanbakhsh"
wall-e,andrew stanton,"ben burtt,elissa knight,jeff garlin","bob bergen,donald fullilove,fred willard,john cygan,john ratzenberger,kathy najimy,lori alan,macintalk,paul eiding,pete docter,sigourney weaver,teddy newton,teresa ganzel"
carol,todd haynes,"cate blanchett,cory michael smith,jake lacy,john magaro,kyle chandler,rooney mara,sarah paulson","amy warner,anita farmer bergman,bella garcia,blanca camacho,carrie brownstein,cate blanchett,chandish nester,colin botts,cory michael smith,dennis hensley,douglas scott sorenson,giedre bond,jake lacy,jayne houdyshell,jim dougherty,jim owens,john magaro,jorge mardel,ken strunk,kevin crowley,kk heim,kyle chandler,liberty fraysure,linnea bond,lizzy leigh,matthew kallmeyer,michael haney,michael loos,misty m. jump,nathaniel grauwelman,nik pajic,philip krinsky,rileigh mcdonald,robert gerding,rooney mara,ryan wesley gilreath,sadie heim,sarah paulson,steven andrews,trent rowland,william willet,zander kaufer"
before midnight,richard linklater,"ariane labed,athina rachel tsangari,ethan hawke,julie delpy,seamus davey-fitzpatrick,walter lassally,xenia kalogeropoulou","anouk servera,ariane labed,athina rachel tsangari,charlotte prior,enrico focardi,ethan hawke,jennifer prior,julie delpy,manolis goussias,panos koronis,seamus davey-fitzpatrick,serafeim radis,walter lassally,xenia kalogeropoulou,yannis papadopoulos,yiannis papadopoulos,yota argyropoulou"
amour,michael haneke,"emmanuelle riva,isabelle huppert,jean-louis trintignant","alexandre tharaud,carole franck,damien jouillerot,dinara drukarova,jean-michel monroc,laurent capelluto,ramón agirre,rita blanco,suzanne schmidt,walid afkir,william shimell"
dunkirk,christopher nolan,"aneurin barnard,barry keoghan,damien bonnard,fionn whitehead,harry styles,jack lowden,james bloor,lee armstrong,mark rylance,tom glynn-carney,tom hardy","adam long,aneurin barnard,barry keoghan,billy howle,bobby lockwood,bradley hall,brian vernel,charley palmer merkell,cillian murphy,constantin balsan,damien bonnard,elliott tittensor,fionn whitehead,jack gover,jack lowden,james bloor,james d'arcy,jochum ten haaf,kenneth branagh,kevin guthrie,lee armstrong,luke thompson,mark rylance,michael fox,michel biel,mikey collins,miranda nolan,paul riley fox,richard sanderson,tom glynn-carney,tom hardy,will attenborough"
"summer of soul (...or, when the revolution could not be televised)",ahmir-khalib thompson,"abbey lincoln,b.b. king,david ruffin,jesse jackson,mahalia jackson,max roach,moms mabley,nina simone,sal masekela,stevie wonder","gladys knight & the pips,mavis staples,sly and the family stone,the 5th dimension,the chambers brothers"
the man who shot liberty valance,john ford,"andy devine,edmond o'brien,james stewart,jeanette nolan,john carradine,john qualen,john wayne,ken murray,lee marvin,vera miles","carleton young,denver pyle,strother martin,willis bouchey,woody strode"
the searchers,john ford,"harry carey jr.,henry brandon,jeffrey hunter,john qualen,john wayne,ken curtis,natalie wood,olive carey,vera miles,ward bond","antonio moreno,beulah archuletta,dorothy jordan,hank worden,walter coy"
45 years,andrew haigh,"charlotte rampling,tom courtenay","camille ucan,charles booth,charlotte rampling,david sibley,dolly wells,geraldine james,hannah chalmers,kevin matadeen,lucy temple,martin atkinson,max rudd,michelle finch,paul goldsmith,peter dean jackson,rachel banham,richard cunningham,rufus wright,sam alexander,tom courtenay"
taxi driver,martin scorsese,"albert brooks,cybill shepherd,diahnne abbott,frank adu,garth avery,gino ardito,jodie foster,peter boyle,robert de niro,victor argo","albert brooks,brenda dickson,copper cunningham,diahnne abbott,frank adu,garth avery,gino ardito,harry cohn,harry fischler,harvey keitel,leonard harris,nat grant,peter boyle,victor argo"
pulp fiction,quentin tarantino,"bruce willis,john travolta,samuel l. jackson","amanda plummer,duane whitaker,eric stoltz,frank whaley,maria de medeiros,paul calderon,peter greene,phil lamarr,rosanna arquette,tim roth,uma thurman,ving rhames"
the manchurian candidate,john frankenheimer,"frank sinatra,laurence harvey","albert paulsen,angela lansbury,barry kelley,douglas henderson,henry silva,james edwards,james gregory,janet leigh,john mcgiver,khigh dhiegh,leslie parrish,lloyd corrigan,madame spivy"
mr. turner,mike leigh,"amy dawson,dorothy atkinson,karl johnson,lesley manville,marion bailey,paul jesson,ruth sheen,sandy foster,timothy spall","alice orr-ewing,amy dawson,billy holland,dorothy atkinson,fenella woolgar,fred pearson,james fleet,james norton,jamie thomas king,john duggan,john warman,joshua mcguire,julian seager,karl johnson,katherine denkinson,lasco atkins,lee ingleby,leo bill,lesley manville,marion bailey,mark stanley,mark wingett,martin savage,niall buggy,oliver maltman,paul jesson,peter wight,richard bremmer,richard dixon,robert portal,roger ashton-griffiths,ruby bentall,ruth sheen,sandy foster,sinead matthews,stuart matthews,sylvestra le touzel,timothy spall,tom edden,tom wlaschiha"
the irishman,martin scorsese,"al pacino,aleksa palladino,anna paquin,bobby cannavale,dascha polanco,harvey keitel,jack huston,jake hoffman,jesse plemons,joe pesci,kathrine narducci,ray romano,robert de niro,sebastian maniscalco,stephanie kurtzuba,stephen graham,steve van zandt","aleksa palladino,aly mang,dascha polanco,domenick lombardozzi,gary basaraba,harvey keitel,india ennenga,jack huston,jake hoffman,jesse plemons,joseph russo,kathrine narducci,paul ben-victor,paul herman,ray romano,sebastian maniscalco,sharon pfeiffer,stephanie kurtzuba,steve van zandt"
grave of the fireflies (1988),isao takahata,"akemi yamaguchi,ayano shiraishi,justin doran,luci christian,marcy bannor,shannon conley,shelley calene-black,tadashi nakamura,tsutomu tatsumi,yoshiko shinohara","adam gibbs,amy jones,crispin freeman,dan green,susan o. koozin"
the wild child,françois truffaut,"annie miller,claude miller,françois truffaut,françoise seigner,jean dasté,jean gruault,jean-pierre cargol,mathieu schiffman,nathan miller,paul villé","eva truffaut,gitt magrini,jean-françois stévenin,laura truffaut,robert cambourakis"
amazing grace,"alan elliott,sydney pollack","alexander hamilton,aretha franklin,bernard pretty purdie,bernard purdie,c.l. franklin,charlie watts,chuck rainey,clara ward,mick jagger,reverand james cleveland,sydney pollack",
shadow of a doubt,alfred hitchcock,"charles bates,edna may wonacott,henry travers,hume cronyn,irving bacon,joseph cotten,macdonald carey,patricia collinge,teresa wright,wallace ford","bill bates,clarence muse,estelle jewell,janet shaw,virginia brissac"
inside out,"pete docter,ronaldo del carmen","amy poehler,bill hader,lewis black,mindy kaling,phyllis smith","amy poehler,bill hader,bob bergen,bobby moynihan,carlos alazraqui,danny mann,dave goelz,diane lane,flea,frank oz,jess harnell,john cygan,john ratzenberger,josh cooley,kaitlyn dias,kyle maclachlan,laraine newman,lewis black,lori alan,mindy kaling,paris van dyke,paula pell,paula poundstone,phyllis smith,rashida jones,richard kind,sherry lynn,teresa ganzel"
sideways,alexander payne,"paul giamatti,sandra oh,thomas haden church,virginia madsen","alysia reiner,jessica hecht,joe marinelli,m.c. gainey,marylouise burke,missy doty,patrick gallagher,robert covarrubias,shake tukhmanyan,shaun duke,stephanie faracy"
schindler's list,steven spielberg,"liam neeson,ralph fiennes","andrzej seweryn,béatrice macola,ben kingsley,caroline goodall,embeth davidtz,friedrich von thun,harry nehring,jonathan sagall,krzysztof luft,malgoscha gebel,mark ivanir,norbert weisser,shmuel levy"
meet me in st. louis,vincente minnelli,"harry davenport,henry h. daniels jr.,judy garland,june lockhart,leon ames,lucille bremer,margaret o'brien,marjorie main,mary astor,tom drake","chill wills,hugh marlowe,joan carroll,robert sully,sidney barnes"
the apartment,billy wilder,"david lewis,fred macmurray,hope holiday,jack kruschen,jack lemmon,joan shawlee,johnny seven,naomi stevens,ray walston,shirley maclaine","david white,dorothy abbott,edie adams,joyce jameson,willard waterman"
apocalypse now,francis ford coppola,"marlon brando,martin sheen","albert hall,bo byers,dennis hopper,frederic forrest,g.d. spradlin,harrison ford,james keane,jerry ziesmer,kerry rossall,laurence fishburne,robert duvall,sam bottoms,scott glenn"
the gunfighter,henry king,"anthony ross,ellen corby,gregory peck,helen westcott,jean parker,karl malden,millard mitchell,richard jaeckel,skip homeier,verna felton","beulah archuletta,c.e. anderson,carl andre,murray alper,victor adamson"
we were here,"bill weber,david weissman",,"bobbi campbell,cleve jones,daniel goldstein,ed wolf,eileen glutzer,guy clark,guy clark,paul boneberg"
lady bird,greta gerwig,"andy buckley,beanie feldstein,danielle macdonald,jake mcdorman,jordan rodrigues,kathryn newton,kristen cloke,laura marano,laurie metcalf,lois smith,lucas hedges,odeya rush,saoirse ronan,stephen henderson,timoth,tracy letts","andy buckley,bayne gibby,beanie feldstein,christina offley,daniel zovatto,danielle macdonald,jake mcdorman,john karna,jordan rodrigues,kathryn newton,kristen cloke,laura marano,lois smith,lucas hedges,marielle scott,stephen henderson,tracy letts"
chimes at midnight,orson welles,"andrés mejuto,jeanne moreau,john gielgud,julio peña,margaret rutherford,marina vlady,michael aldridge,orson welles,tony beckley,walter chiari","alan webb,fernando rey,jeremy rowe,keith baxter,keith pyott"
the lord of the rings: the return of the king,peter jackson,"andy serkis,orlando bloom","alexandra astin,alistair browning,bernard hill,billy boyd,cate blanchett,david aston,ian mckellen,jason fitch,john bach,marton csokas,noel appleby,orlando bloom,richard edge,sadwyn brophy,sean astin,sean bean"
carlos,olivier assayas,,"ahmad kaabour,alejandro arroyo,alexander scheer,aljoscha stadelmann,antoine balabane,christoph bach,édgar ramírez,fadi abi samra,fadi yanni turk,juana acosta,julia hummer,karam ghossein,lamia ahmed,liane sellerer,nora von waldstätten,philippe tran,rami farah,rodney el haddad,talal el-jordi,zeid hamdan"
marriage story,noah baumbach,"adam driver,alan alda,albert jones,ayden mayeri,azhy robertson,brooke bloom,david turner,eric berryman,gideon glick,julia greer,julie hagerty,kyle bornheimer,laura dern,mark o'brien,mary hollis inboden,matthew maher,merritt wever,mickey sumner,ray liotta,robert smigel,scarlett johansson,wallace shawn","albert jones,annie hamilton,ayden mayeri,azhy robertson,brooke bloom,jasmine cephas jones,julie hagerty,kyle bornheimer,mark o'brien,martha kelly,mary hollis inboden,mary wiseman,matthew maher,mickey sumner,motell gyn foster,pete simpson,raymond j. lee,robert smigel"
la la land,damien chazelle,"emma stone,j.k. simmons,rosemarie dewitt,ryan gosling","amanda fields,amiée conn,ana flavia gavlak,andres perez-molina,ashley caple,callie hernandez,cameron brinkman,candice coke,christopher aber,cinda adams,claudine claudio,d.a. wallach,emma stone,finn wittrock,hemky madera,j.k. simmons,jason fuchs,jessica rothe,john legend,jordan ray fox,josh pence,kaye l. morris,kc monnie,kiff vandenheuvel,kristin slaysman,margaret newborn,meagen fay,miles anderson,morgan larson,nilla watkins,phillip e. walker,rosemarie dewitt,ryan gosling,sandra rosko,shannon klein,shannon leann,sonoya mizuno,terry walters,thom shelton,tom everett scott,trevor lissauer,zoë hall"
faces places,"agnès varda,jr","agnès varda,amaury bossy,claude ferchal,claude flaert,j.r.,jean-luc godard,jean-paul beaujon,jeannine carpentier,jr,laurent levesque,marie douvet,vincent gils,yves boulen","clemens van dungern,laurent levesque,morgane riou,nathalie maurouard,nathalie schleehauf,patricia mercier,pony-soleil-air-sauvage-nature"
"crouching tiger, hidden dragon",ang lee,"michelle yeoh,yun-fat chow,ziyi zhang","chen chang,de ming wang,fa zeng li,jin ting zhang,kai li,li li,pei-pei cheng,rei yang,sihung lung,su ying huang,xian gao,yan hai"
nomadland,chloé zhao,"angela reyes,bob wells,carl r. hughes,david strathairn,douglas g. soul,frances mcdormand,gay deforest,karie lynn mcdermott wilder,linda may,patricia grier,ryan aquino,swankie,teresa buchanan","annette webb,annette wells,bob wells,brandy wilber,karie lynn mcdermott wilder,makenzie etcheverry,rachel bannon"
the servant,joseph losey,"dirk bogarde,james fox,sarah miles,wendy craig","alun owen,ann firbank,brian phelan,catherine lacey,derek tansley,doris knox,harold pinter,hazel terry,jill melford,patrick magee,richard vernon"
call me by your name,luca guadagnino,"amira casar,antonio rimoldi,armie hammer,elena bucci,esther garrel,marco sgrosso,michael stuhlbarg,timoth,vanda capriolo,victoire du bois","amira casar,andre aciman,antonio rimoldi,armie hammer,elena bucci,esther garrel,marco sgrosso,michael stuhlbarg,peter spears,timoth,vanda capriolo,victoire du bois,xhuliano ujka"
the magnificent ambersons,"fred fleck,orson welles,robert wise","agnes moorehead,anne baxter,dolores costello,edwin august,erskine sanford,joseph cotten,orson welles,ray collins,richard bennett,tim holt","georgia backus,harry a. bailey,jack baxley,olive ball,william blees"
reversal of fortune,barbet schroeder,"glenn close,jeremy irons","alan pottinger,annabella sciorra,christine baranski,christine dunford,felicity huffman,fisher stevens,jack gilpin,johann carlo,keith reddin,mano singh,ron silver,stephen mailer,uta hagen"
david byrne’s american utopia,spike lee,david byrne,
shoplifters,hirokazu koreeda,"akira emoto,chizuru ikewaki,daisuke kuroda,jyo kairi,kazuaki shimizu,kengo kôra,kirin kiki,lily franky,mayu matsuoka,miyu sasaki,moemi katayama,sakura andô,sôsuke ikematsu,yôko moriguchi,yûki yamada","aju makita,akira emoto,chizuru ikewaki,hajime inoue,izumi matsuoka,jyo kairi,katsuya maiguma,kazuaki shimizu,kengo kôra,miyu sasaki,naoto ogata,yôko moriguchi,yûki yamada"
shoah: four sisters,claude lanzmann,"ada lichtman,claude lanzmann,hanna marton,paula biren,ruth elias",
the 39 steps,alfred hitchcock,"frank cellier,godfrey tearle,gus mcnaughton,helen haye,john laurie,lucie mannheim,madeleine carroll,peggy ashcroft,robert donat,wylie watson","charles bennett,ivor barnard,jerry verno,noel birkin,peggy simpson"
duck soup,leo mccarey,"chico marx,edmund breese,groucho marx,harpo marx,leonid kinskey,louis calhern,margaret dumont,raquel torres,the marx brothers,zeppo marx","charles middleton,edgar kennedy,edward arnold,sidney bracey,wade boteler"
petite maman,céline sciamma,"florès cardo,gabrielle sanz,guylène péan,josée schuller,joséphine sanz,margot abascal,nina meurisse,stéphane varupenne",
days of heaven,terrence malick,"brooke adams,richard gere","bob wilson,doug kershaw,frenchie lemond,gene bell,jackie shultis,linda manz,muriel jolliffe,richard libertini,robert j. wilke,sahbra markus,sam shepard,stuart margolin,timothy scott"
