MOVIE NAME,DIRECTORS LIST,PRINCIPLE CAST LIST,CAST LIST
all is lost,j.c. chandor,robert redford,robert redford
hereditary,ari aster,"alex wolff,ann dowd,austin r. grant,briann rachele,christy summerhays,gabriel byrne,gabriel monroe eckert,harrison nell,jake brown,jarrod phillips,john forker,mallory bechtel,marilyn miller,mark blockovich,milly shapiro,morgan lund,rachelle hardy,toni collette,zachary arthur","a.j. moss,ann dowd,austin r. grant,brock mckinney,chad wright,gerry garcia,heidi méndez,jarrod phillips,jason miyagi,john forker,lorenzo silva,mallory bechtel,marilyn miller,moises l. tovar,rachelle hardy,shane morrisun,zachary arthur"
listen to me marlon,stevan riley,marlon brando,marlon brando
gideon's army,dawn porter,,
serpico (re-release),sidney lumet,"al pacino,john randolph","albert henderson,allan rich,barbara eda-young,biff mcguire,cornelia sharpe,damien leake,edward grover,hank garrett,jack kehoe,john medici,joseph bova,norman ornellas,tony roberts"
maria full of grace,joshua marston,"catalina sandino moreno,guilied lopez","charles albert patiño,evangelina morales,fabricio suarez,jaime osorio gómez,johanna andrea mora,john álex toro,juana guarderas,mateo suarez,rodrigo sánchez borhorquez,victor macias,virgina ariza,wilson guerrero,yenny paola vega"
fateless,lajos koltai,,"andrás m. kecskés,áron dimény,bálint péntek,béla dóra,dani szabó,endre harkányi,gábor nyiri,jenö nagy,marcell nagy,márton brezina,péter fancsikai,péter vida,tibor mertz,zoltán bukovszki,zsolt dér"
happy as lazzaro,alice rohrwacher,"adriano tardiolo,agnese graziani,alba rohrwacher,alessandro genovesi,antonio salines,carlo massimino,daria pascal attolini,david bennent,davide denci,elisabetta rocchetti,luca chikovani,maddalena baiocco,natalino balasso,nicoletta braschi,sergi lópez,tommaso ragno","alessandro genovesi,annunziata capretto,antonio salines,carlo massimino,daria pascal attolini,davide denci,ettore scarpa,gala othero winter,giulia caccavello,leonardo nigro,luca chikovani"
the fog of war: eleven lessons from the life of robert s. mcnamara,errol morris,"fidel castro,john f. kennedy,richard nixon,robert mcnamara","barry goldwater,curtis lemay,errol morris,franklin delano roosevelt,harry reasoner,lyndon johnson,nikita khrushchev,woodrow wilson"
uncle boonmee who can recall his past lives,apichatpong weerasethakul,,"jenjira pongpas,matthieu ly,sakda kaewbuadee,thanapat saisaymar,vien pimdee"
brokeback mountain,ang lee,"heath ledger,jake gyllenhaal,michelle williams","anna faris,anne hathaway,david harbour,david trimble,kate mara,lachlan mackintosh,larry reese,linda cardellini,marty antonini,randy quaid,valerie planche,víctor reyes"
cemetery of splendor,apichatpong weerasethakul,,"apinya unphanlam,banlop lomnoi,bhattaratorn senkraigul,boonyarak bodlakorn,jarinpattra rueangram,jenjira jansuda,jenjira pongpas,kammanit sansuklerd,petcharat chaiburi,pongsadhorn lertsukon,richard abramson,sakda kaewbuadee,sasipim piwansenee,sujittraporn wongsrikeaw,tawatchai buawat,wacharee nagvichien"
the kid with a bike,"jean-pierre dardenne,luc dardenne","cécile de france,egon di mateo,fabrizio rongione,jérémie renier,olivier gourmet,thomas doret","batiste sornin,carl jadot,cécile de france,claudy delfosse,egon di mateo,fabrizio rongione,frédéric dussenne,hicham slaoui,jean-michel balthazar,jérémie renier,myriem akeddiou,olivier gourmet,samuel de rijk,sandra raco,thomas doret"
mutiny on the bounty,frank lloyd,"charles laughton,clark gable,donald crisp,dudley digges,eddie quillan,franchot tone,francis lister,henry stephenson,herbert mundin,spring byington","byron russell,david torrence,mamo clark,movita,percy waram"
